Race,Coach,Location,Nation,Opponent,Tournament Name,Variant,Year,Date,Result,# Draws,# Games,# Losses,# Wins,Opponent TDs,T Ds,TDs Against,TDs For,TDs Net,Win %
Old World Alliance,Grither,United States,United States Of America,minetool99,Goblintown Gridiron Gang Round-Up,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Shambling Undead,Rivener,Italy,Italy,Kiave,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Shambling Undead,Nourrou,France,,yoshi74,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Dwarf,FloridaMan,United States,United States Of America,DangerFro,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Dwarf,Clement0,France,France,Getyaya,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Dark Elf,DangerFro,United States,United States Of America,Grentain,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Lizardmen,Bombardiere50,Italy,Italy,orso71,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Lizardmen,BLUEWING711,United States,United States Of America,Brogre,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Lizardmen,BLUEWING711,United States,United States Of America,Sol,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Old World Alliance,Grither,United States,United States Of America,soccer02,Goblintown Gridiron Gang Round-Up,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Orc,Laerthis,France,France,Leonhart,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Orc,ferra,Italy,Italy,Rolex,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Orc,Vynyarian,France,,public,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Skaven,Sol,United States,United States Of America,LordAntoine,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Wood Elf,Hopswitz,France,France,yoxcoco,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Human,freyn,France,France,Dikeus,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,3,0,3,3,100.0%
Lizardmen,Giants,France,,Chedrak,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,4,1,4,3,100.0%
Wood Elf,silkoun,France,France,mcouille,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,5,0,5,5,100.0%
Chaos Chosen,Phoenix11,Italy,Italy,SaitoGarama,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Chosen,Hely,France,France,Vynyarian,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Chosen,rafikus,France,France,public,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
High Elf,Helborg,France,France,Galanthil,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Imperial Nobility,7HAMZA7,France,,Buckler,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Necromantic Horror,obsidian,France,France,Grol,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Necromantic Horror,Barbossa,Italy,Italy,Rivener,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Nurgle,Nyavlis,France,France,RackLuhr,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Tomb Kings,Etheran,France,France,Eraszeul,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Underworld Denizens,Foxxx,France,France,Passfinder,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Chaos Chosen,Liam,Italy,Italy,Ferpa,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Daemons of Khorne,SaitoGarama,Italy,Italy,Kiave,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Daemons of Khorne,Historic,France,France,Jerem,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
High Elf,Helborg,France,France,Pit,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
High Elf,Helborg,France,France,Snatch,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Imperial Nobility,Thot,France,France,Nisalis,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Necromantic Horror,Yena,Italy,Italy,inge,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Necromantic Horror,Brun`s,France,France,d'j̫,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Necromantic Horror,Barbossa,Italy,Italy,sandmanmusashi,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Slann,Rolex,Italy,Italy,Ferpa,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Tomb Kings,Snatch,France,France,Jerem,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Tomb Kings,Snatch,France,France,Grol,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Underworld Denizens,nornbreeder,United States,United States Of America,Brogre,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Vampire,Joemazing,United States,,Grentain,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Chosen,Kiave,Italy,Italy,Ferpa,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Daemons of Khorne,orso71,Italy,Italy,Vyper,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Necromantic Horror,bhall,United States,United States Of America,jackbedead,Goblintown Gridiron Gang Round-Up,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Necromantic Horror,obsidian,France,France,Leonhart,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Slann,Rolex,Italy,Italy,Rivener,Postal Salumi Gathering,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,Lord_Bojo,France,France,Astypal,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,morsocons,France,France,Mr_Creed,Bowl des Vignes XI,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
High Elf,yoxcoco,France,Spain,Mawach,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,4,0,4,4,100.0%
Necromantic Horror,DurtWataFlashMob,United States,United States Of America,Grentain,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,0,4,0,4,4,100.0%
Underworld Denizens,Jogrenaught,United States,United States Of America,Joemazing,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,3,4,3,4,1,100.0%
Underworld Denizens,Lord_Bojo,France,France,Manant,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,5,0,5,5,100.0%
Goblin,Boulaz,France,,Nisalis,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Goblin,victorhugo,France,France,Nykare,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Ogre,Grol,France,France,Nyavlis,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,1,0,1,1,100.0%
Halfling,Pit,France,Belgium,Boulaz,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Halfling,Joker2and53,United States,United States Of America,Ikeda,Florida Man's Red Solo Cup II,BB 2020,2021,9/18/2021,W,,1,,1,0,2,0,2,2,100.0%
Snotling,DurdOun,France,France,Lord_Bojo,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,1,2,1,2,1,100.0%
Halfling,d'j̫,France,France,Mawach,Comtoise Bowl VII,BB 2020,2021,9/18/2021,W,,1,,1,2,4,2,4,2,100.0%
Dwarf,megamudcrab,Denmark,,shortstuff,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Human,atp951,Denmark,Denmark,shortstuff,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Human,DirtyD,United States,,grossness13,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Old World Alliance,pondcastle,Denmark,Denmark,atp951,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Orc,Vynyarian,France,,Passfinder,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,velomora,France,,Hely,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,MightyZuk,United States,United States Of America,Wyld,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Dwarf,yoshi74,France,France,Mr_Creed,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,megamudcrab,Denmark,,chaos49er,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,chaos49er,Denmark,,sommer,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,Nisalis,France,,Getyaya,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Old World Alliance,pondcastle,Denmark,Denmark,ryberg,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Orc,Kalic̩o,France,,Galanthil,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Human,freyn,France,France,biereforever,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,4,0,4,0,-4,0.0%
Dwarf,chaos49er,Denmark,,Pete,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,sommer,Denmark,Denmark,Pete,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,randomguy87,Denmark,Denmark,shortstuff,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,Sran_isback,France,France,Cissou,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,velomora,France,,shogunfrance,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Wood Elf,silkoun,France,France,morsocons,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,Eldoroth,France,,morsocons,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,3,1,3,1,-2,0.0%
Old World Alliance,pondcastle,Denmark,Denmark,dromo,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,3,2,3,2,-1,0.0%
Black Orc,Welp,United States,,DirtyD,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Black Orc,Oobaa47,United States,United States Of America,Wyld,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Chosen,Hely,France,France,Eldoroth,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Renegade,Manant,France,France,Laerthis,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
High Elf,Helborg,France,France,Giants,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
High Elf,yoxcoco,France,Spain,Nyavlis,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Daemons of Khorne,minizuk,United States,,Oobaa47,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Tomb Kings,Snatch,France,France,Ashrame,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Underworld Denizens,public,France,,Passfinder,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Underworld Denizens,dromo,Denmark,,Pete,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Vampire,shogunfrance,France,France,Nourrou,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Ogre,gaddockteeg,United States,United States Of America,MightyZuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Halfling,mcouille,France,,yoshi74,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Ogre,gaddockteeg,United States,United States Of America,Oobaa47,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,Jerem,France,France,Brun`s,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Halfling,d'j̫,France,France,Astypal,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,Mawach,France,France,Leonhart,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,4,1,4,1,-3,0.0%
Chaos Dwarf,snottyblackhoof,United States,United States Of America,Welp,Dutch Killz Kup V,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,megamudcrab,Denmark,,randomguy87,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Dwarf,megamudcrab,Denmark,,pondcastle,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Human,randomguy87,Denmark,Denmark,atp951,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,Buckler,France,,Budmilka,Comtoise Bowl VII,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Orc,Cissou,France,France,eldiouk,Bowl des Vignes XI,BB 2020,2021,9/19/2021,T,1,1,,,2,2,2,2,0,50.0%
Human,atp951,Denmark,Denmark,dromo,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,3,3,3,3,0,50.0%
Necromantic Horror,obsidian,France,France,Etheran,Comtoise Bowl VII,BB 2020,2021,9/19/2021,T,1,1,,,1,1,1,1,0,50.0%
Underworld Denizens,dromo,Denmark,,sommer,MidtconGT 2021,BB 2020,2021,9/19/2021,T,1,1,,,2,2,2,2,0,50.0%
High Elf,eldiouk,France,France,biereforever,Bowl des Vignes XI,BB 2020,2021,9/19/2021,T,1,1,,,4,4,4,4,0,50.0%
Chaos Dwarf,snottyblackhoof,United States,United States Of America,Serena,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Dwarf,Eraszeul,France,,Nykare,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Norse,Nabouleon,France,,Nourrou,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Human,Chedrak,France,,Boulaz,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Shambling Undead,grossness13,United States,,snottyblackhoof,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Chaos Dwarf,Clement0,France,France,Historic,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Dwarf,ryberg,Denmark,,chaos49er,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Dwarf,ryberg,Denmark,,randomguy87,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Human,sommer,Denmark,Denmark,ryberg,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Norse,trafalgar,France,France,Pink_Charlie,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Shambling Undead,MightyZuk,United States,United States Of America,DirtyD,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Chosen,rafikus,France,France,Vynyarian,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Underworld Denizens,Foxxx,France,France,Sran_isback,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Daemons of Khorne,minizuk,United States,,Welp,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Necromantic Horror,Wyld,United States,,grossness13,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,Foxxx,France,France,Nabouleon,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Underworld Denizens,Lord_Bojo,France,France,Hopswitz,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Vampire,Serena,United States,,minizuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Chaos Renegade,Pete,Denmark,Denmark,shortstuff,MidtconGT 2021,BB 2020,2021,9/19/2021,W,,1,,1,0,3,0,3,3,100.0%
Underworld Denizens,public,France,,Dikeus,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,0,3,0,3,3,100.0%
Halfling,Pit,France,Belgium,RackLuhr,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Ogre,Grol,France,France,Jugaka,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Ogre,gaddockteeg,United States,United States Of America,Serena,Dutch Killz Kup V,BB 2020,2021,9/19/2021,W,,1,,1,0,1,0,1,1,100.0%
Goblin,victorhugo,France,France,7HAMZA7,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,0,2,0,2,2,100.0%
Ogre,Mr_Creed,France,France,rafikus,Bowl des Vignes XI,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Snotling,DurdOun,France,France,Petitof,Comtoise Bowl VII,BB 2020,2021,9/19/2021,W,,1,,1,1,2,1,2,1,100.0%
Orc,Vynyarian,France,,rafikus,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Orc,Nykare,France,,Eraszeul,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,Nourrou,France,,Nabouleon,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,Jugaka,France,France,Grol,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Shambling Undead,Sran_isback,France,France,Foxxx,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Chaos Dwarf,snottyblackhoof,United States,United States Of America,grossness13,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,0,2,0,-2,0.0%
Dwarf,chaos49er,Denmark,,ryberg,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Dwarf,ryberg,Denmark,,sommer,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,randomguy87,Denmark,Denmark,ryberg,MidtconGT 2021,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,DirtyD,United States,,MightyZuk,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Human,Petitof,France,France,DurdOun,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,Pink_Charlie,France,France,trafalgar,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,Nabouleon,France,,Foxxx,Bowl des Vignes XI,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Shambling Undead,grossness13,United States,,Wyld,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Wood Elf,Hopswitz,France,France,Lord_Bojo,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,2,1,2,1,-1,0.0%
Black Orc,RackLuhr,France,Switzerland,Pit,Comtoise Bowl VII,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Vampire,Serena,United States,,snottyblackhoof,Dutch Killz Kup V,BB 2020,2021,9/19/2021,L,,1,1,,1,0,1,0,-1,0.0%
Lizardmen,frank23tank,United States,,Awilks85,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,obie0311,United States,,Awilks85,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Necromantic Horror,obie0311,United States,,griffixjedi,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Dark Elf,Purgatus,United States,,dacrazyorc,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,2,0,2,2,100.0%
Orc,Awilks85,United States,,SweetBoy,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,2,0,2,2,100.0%
Human,dacrazyorc,United States,,winterhorse,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,1,2,1,2,1,100.0%
Human,dacrazyorc,United States,,frank23tank,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,1,2,1,2,1,100.0%
Dark Elf,misterhobbs,United States,United States Of America,SweetBoy,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,3,0,3,3,100.0%
Daemons of Khorne,winterhorse,United States,United States Of America,SweetBoy,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,1,0,1,1,100.0%
Human,dacrazyorc,United States,,Purgatus,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,2,0,2,0,-2,0.0%
Lizardmen,frank23tank,United States,,dacrazyorc,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,2,1,2,1,-1,0.0%
Daemons of Khorne,winterhorse,United States,United States Of America,dacrazyorc,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,SweetBoy,United States,,winterhorse,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,1,0,1,0,-1,0.0%
Goblin,SweetBoy,United States,,Awilks85,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,2,0,2,0,-2,0.0%
Goblin,SweetBoy,United States,,misterhobbs,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,L,,1,1,,3,0,3,0,-3,0.0%
Orc,Awilks85,United States,,frank23tank,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Orc,Awilks85,United States,,obie0311,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Shambling Undead,griffixjedi,United States,United States Of America,obie0311,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,T,1,1,,,1,1,1,1,0,50.0%
Norse,Moonshine82,United States,United States Of America,winterhorse,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,2,0,2,2,100.0%
Dark Elf,Purgatus,United States,,griffixjedi,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,1,2,1,2,1,100.0%
Norse,Moonshine82,United States,United States Of America,Purgatus,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,1,2,1,2,1,100.0%
Norse,Moonshine82,United States,United States Of America,misterhobbs,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,1,2,1,2,1,100.0%
Dark Elf,misterhobbs,United States,United States Of America,griffixjedi,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,3,0,3,3,100.0%
Necromantic Horror,obie0311,United States,,frank23tank,WEMBBL Bullcifer Bowl III,BB 2020,2021,1/23/2021,W,,1,,1,0,2,0,2,2,100.0%
Orc,Mime,Spain,Spain,bletos,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,L,,1,1,,1,0,1,0,-1,0.0%
Dwarf,sergio,Spain,Spain,Shirokov,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,L,,1,1,,3,1,3,1,-2,0.0%
Black Orc,indio,Spain,Spain,Godzilla,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,L,,1,1,,2,1,2,1,-1,0.0%
Goblin,periprocto,Spain,Spain,SirMayans,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,L,,1,1,,2,0,2,0,-2,0.0%
Ogre,Alvar,Spain,Spain,barbancho,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,L,,1,1,,2,1,2,1,-1,0.0%
Norse,xusona,Spain,Spain,bululito,Madrid Bowl Reva Support,BB 2020,2021,1/30/2021,W,,1,,1,0,1,0,1,1,100.0%
